dt,Y,M,D,away_team,home_team,away_score,home_score,away_pitcher_id,home_pitcher_id,away_1_id,away_2_id,away_3_id,away_4_id,away_5_id,away_6_id,away_7_id,away_8_id,away_9_id,home_1_id,home_2_id,home_3_id,home_4_id,home_5_id,home_6_id,home_7_id,home_8_id,home_9_id,outcome
2022-04-09,2022,4,9,NYN,WAS,5,0,bassc001,adonj001,nimmb001,marts002,lindf001,alonp001,mcnej002,smitd008,jankt001,guill001,mccaj001,hernc005,sotoj001,cruzn002,bellj005,thoml002,franm004,escoa003,adamr004,roblv001,0
2022-04-09,2022,4,9,MIA,SFN,2,1,lopep002,rodoc001,solej001,coopg002,aguij001,garca003,rojam002,andeb006,sancj003,stalj001,bertj001,yastm001,beltb001,ruf-d001,pedej001,crawb001,florw001,estrt001,duggs001,bartj003,0
2022-04-09,2022,4,9,OAK,PHI,2,4,irvic001,gibsk002,kempt001,lowrj001,murps001,pindc001,brows003,andre001,smitk003,piscs001,pachc001,schwk001,realj001,harpb003,castn001,hoskr001,seguj002,gregd001,bohma001,vierm001,1
2022-04-09,2022,4,9,LAN,COL,2,3,gonst001,marqg001,bettm001,freef001,turnt001,muncm001,turnj001,riose001,bellc002,lux-g001,barna001,blacc001,bryak001,rodgb002,cronc002,mcmar001,joe-c001,hills005,iglej001,nuned001,1
2022-04-09,2022,4,9,MIL,CHN,0,9,woodb005,steej002,mccua001,adamw002,yelic001,renfh001,hiurk001,taylt002,wongk001,brosm001,carav001,orter001,madrn001,contw001,happi001,schwf001,suzus001,heywj001,wisdp001,hoern001,1
2022-04-09,2022,4,9,CIN,ATL,1,2,gutiv001,wrigk001,indij001,naqut001,phamt001,vottj001,fralj001,senzn001,mousm001,farmk001,garca006,rosae001,olsom001,rilea001,ozunm001,albio001,duvaa001,dicka001,swand001,contw002,1
2022-04-09,2022,4,9,SDN,ARI,5,2,musgj001,daviz001,grist001,beatm001,machm001,cronj001,voitl001,hosme001,nolaa002,myerw001,abrac001,varsd001,martk001,perad001,walkc002,smitp002,beers001,perdg001,alcas002,herrj003,0
2022-04-09,2022,4,9,PIT,SLN,2,6,kellm003,mikom001,voged001,reynb001,hayek001,tsuty001,vanmj001,gameb001,tuckc001,perer003,newmk001,carld002,goldp001,oneit001,arenn001,dickc002,dejop001,moliy001,badeh001,edmat001,1
2022-04-10,2022,4,10,CHA,DET,10,1,kopem001,skubt001,andet001,robel002,abrej003,jimee001,vauga001,harrj002,engea001,mcgur002,mendd002,grosr001,meada001,baezj001,candj002,cabrm001,schoj001,reyev001,torks001,barnt001,0
2022-04-10,2022,4,10,BAL,TBA,0,8,wellt003,klubc001,mullc002,mounr001,santa003,manct001,uriar001,odorr001,haysa001,matej003,bemba001,loweb001,franw002,arozr001,choij001,diazy001,lowej002,ramih004,zunim001,margm001,1
2022-04-10,2022,4,10,BOS,NYA,4,3,houct001,montj004,herne001,dever001,bogax001,martj006,dalbb001,arroc001,verda001,plawk001,arauj001,donaj001,rizza001,judga001,stanm004,gallj002,torrg001,hicka001,kinei001,trevj001,0
2022-04-10,2022,4,10,TEX,TOR,12,6,howas003,ryu-h001,semim001,seagc001,garvm001,garca005,ibLAA001,solan001,culbc001,heimj001,white006,sprig001,bichb001,guerv002,hernt002,gurrl001,chapm001,tapir001,espis001,jansd001,0
2022-04-10,2022,4,10,SEA,MIN,4,10,gonzm005,oberb002,fraza001,frant002,winkj002,hanim001,kelej001,suare001,rodrj007,crawj002,torrl001,buxtb001,corrc001,polaj001,urshg001,sanom001,kiria001,sancg002,jeffr002,keplm001,1
2022-04-10,2022,4,10,CLE,KCA,17,3,quanc001,bubik001,stram002,kwans001,ramij003,reyef001,rosaa003,millo002,cleme002,merco003,lavab001,merrw001,wittb002,benia002,peres002,santc002,dozih001,mondr003,taylm002,lopen001,0
2022-04-10,2022,4,10,HOU,LAA,4,1,urquj001,suarj001,sirij001,penaj004,brega001,alvay001,diaza003,tuckk001,mccoc001,goodn002,maldm001,ohtas001,troum001,walsj001,mayfj001,adelj001,rojaj002,suzuk001,fletd002,wadet002,0
2022-04-10,2022,4,10,MIL,CHN,5,4,peraf001,strom001,wongk001,adamw002,yelic001,mccua001,tellr001,renfh001,narvo001,cainl001,petej002,orter001,madrn001,villj001,rivaa001,suzus001,frazc001,heywj001,gomey001,hoern001,0
2022-04-10,2022,4,10,PIT,SLN,9,4,wilsb003,matzs001,hayek001,reynb001,chavm001,tsuty001,castd004,newmk001,marij002,perer003,gameb001,carld002,goldp001,oneit001,arenn001,dickc002,dejop001,moliy001,badeh001,edmat001,0
2022-04-10,2022,4,10,MIA,SFN,2,3,roget003,desca001,solej001,coopg002,sancj003,aguij001,garca003,wendj002,andeb006,chisj001,henrp001,slata001,ruf-d001,crawb001,florw001,estrt001,ramoh002,dubom001,willl001,casac001,1
2022-04-10,2022,4,10,OAK,PHI,4,1,jeffd001,efliz001,kempt001,andre001,murps001,brows003,piscs001,mckib001,smitk003,allea001,pachc001,schwk001,seguj002,harpb003,castn001,hoskr001,stotb001,camaj001,stubg001,vierm001,0
2022-04-10,2022,4,10,LAN,COL,4,9,uriaj001,senza001,bettm001,freef001,turnt001,muncm001,turnj001,smitw003,bellc002,taylc001,lux-g001,joe-c001,bryak001,rodgb002,cronc002,mcmar001,gricr001,diaze005,dazay001,hampg001,1
2022-04-10,2022,4,10,CIN,ATL,6,3,greeh001,andei001,indij001,naqut001,phamt001,vottj001,stept001,senzn001,morac001,farmk001,fralj001,rosae001,olsom001,rilea001,ozunm001,albio001,duvaa001,dicka001,darnt001,swand001,0
2022-04-10,2022,4,10,SDN,ARI,10,5,snelb001,smitc006,grist001,nolaa002,machm001,cronj001,voitl001,myerw001,profj001,alfaj002,kim-h002,hummc001,martk001,perad001,walkc002,kellc002,varsd001,perdg001,mccaj003,ellid002,0
2022-04-10,2022,4,10,NYN,WAS,2,4,carrc003,fedde001,nimmb001,lindf001,canor001,alonp001,escoe001,smitd008,canhm001,mcnej002,nidot001,hernc005,sotoj001,cruzn002,bellj005,ruizk001,herny002,franm004,fox-l001,roblv001,1
2022-04-11,2022,4,11,COL,TEX,6,4,gomba001,heart001,joe-c001,blacc001,bryak001,cronc002,rodgb002,mcmar001,gricr001,diaze005,iglej001,semim001,seagc001,garvm001,garca005,lowen001,ibLAA001,solan001,calhk001,culbc001,0
2022-04-11,2022,4,11,OAK,TBA,13,2,blacp001,patil001,kempt001,andre001,mckib001,murps001,brows003,pindc001,vogts001,neuss001,pachc001,loweb001,franw002,diazy001,choij001,lowej002,mejif001,kierk001,wallt003,philb002,0
2022-04-11,2022,4,11,TOR,NYA,3,0,manoa001,tailj001,sprig001,bichb001,guerv002,hernt002,gurrl001,kirka001,chapm001,collz001,espis001,lemad001,rizza001,judga001,stanm004,gallj002,torrg001,hicka001,higak001,gonzm002,0
2022-04-11,2022,4,11,SEA,MIN,0,4,flexc001,bundd001,fraza001,frant002,winkj002,hanim001,toroa001,suare001,crawj002,rodrj007,ralec001,buxtb001,corrc001,arral001,polaj001,urshg001,keplm001,sancg002,sanom001,kiria001,1
2022-04-11,2022,4,11,CLE,KCA,10,7,civaa001,hernc006,stram002,kwans001,ramij003,reyef001,rosaa003,millo002,merco003,gimea001,hedga001,merrw001,wittb002,benia002,peres002,santc002,dozih001,mondr003,taylm002,lopen001,0
2022-04-11,2022,4,11,BOS,DET,1,3,wachm001,mannm001,herne001,dever001,bogax001,martj006,verda001,vazqc001,shawt001,arauj001,bradj001,grosr001,meada001,baezj001,candj002,cabrm001,schoj001,casth001,barnt001,badda001,1
2022-04-11,2022,4,11,MIL,BAL,0,2,housa001,zimmb002,mccua001,adamw002,yelic001,renfh001,hiurk001,taylt002,wongk001,brosm001,carav001,mullc002,mounr001,santa003,manct001,uriar001,odorr001,haysa001,matej003,chirr001,1
2022-04-11,2022,4,11,MIA,LAA,2,6,herne002,lorem002,solej001,sancj003,coopg002,aguij001,wendj002,andeb006,stalj001,chisj001,rojam002,ohtas001,renda001,walsj001,stasm001,marsb002,rojaj002,adelj001,wadet002,fletd002,1
2022-04-11,2022,4,11,SDN,SFN,4,2,martn002,wooda002,grist001,nolaa002,machm001,cronj001,voitl001,myerw001,hosme001,profj001,kim-h002,yastm001,beltb001,ruf-d001,pedej001,crawb001,estrt001,bartj003,duggs001,dubom001,0
2022-04-11,2022,4,11,NYN,PHI,4,5,walkt004,suarr001,nimmb001,marts002,lindf001,alonp001,escoe001,davij006,canhm001,guill001,mccaj001,schwk001,realj001,harpb003,castn001,hoskr001,gregd001,seguj002,bohma001,vierm001,1
2022-04-11,2022,4,11,WAS,ATL,11,2,rogej003,ynoah001,hernc005,sotoj001,cruzn002,bellj005,ruizk001,herny002,thoml002,franm004,escoa003,albio001,olsom001,rilea001,ozunm001,duvaa001,rosae001,swand001,pinam001,arcio002,0
